id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
61,2025-07-03,1759,23,4,12,142.93,13.14,,monto_asegurado_vacio_o_negativo
62,2025-12-16,584,36,4,8,695.24,63.23,,monto_asegurado_vacio_o_negativo
63,2025-03-05,3691,55,10,7,-1680.49,242.41,238110.36,
64,2025-07-20,1081,75,8,1,,17.48,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
65,,697,67,1,10,302.71,462.2,,"Fecha_emision es nulo,monto_asegurado_vacio_o_negativo"
67,2025-11-22,1246,31,6,5,,359.79,258570.08,prima_vacia_o_negativa
68,2025-02-14,475,43,13,3,,187.12,235726.94,prima_vacia_o_negativa
69,2025-05-22,2178,76,1,4,,20.56,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
70,2025-03-09,730,78,15,4,,146.22,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
71,2025-08-16,3656,77,10,2,258.6,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
72,2026-01-28,2797,14,2,7,,8.38,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
73,2025-03-01,841,26,7,12,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
74,2025-01-04,2814,64,5,7,,358.53,279782.46,prima_vacia_o_negativa
75,2025-11-21,1345,51,15,1,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
76,2025-09-20,2671,14,9,5,,381.13,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
78,2025-10-25,698,55,3,7,1298.49,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
79,2025-06-24,2375,66,4,10,,,142122.95,"prima_vacia_o_negativa,comision_vacia_o_negativo"
80,2025-09-17,914,64,6,7,,282.52,44463.35,prima_vacia_o_negativa
81,2025-11-30,2745,13,13,11,1688.38,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
82,2025-07-18,2392,21,3,4,,83.63,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
83,2025-04-25,357,18,15,11,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
84,2025-01-28,772,18,3,4,,84.39,41526.61,prima_vacia_o_negativa
86,2025-10-10,3714,32,15,11,1214.28,293.02,,monto_asegurado_vacio_o_negativo
87,2025-03-18,2217,98,11,12,,,94028.85,"prima_vacia_o_negativa,comision_vacia_o_negativo"
88,2025-06-03,1671,28,12,6,885.97,132.85,,monto_asegurado_vacio_o_negativo
89,2025-10-23,2963,77,1,5,1372.83,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
90,,753,20,1,10,916.04,219.65,129872.69,Fecha_emision es nulo
92,,2659,25,11,4,,325.08,191582.82,"Fecha_emision es nulo,prima_vacia_o_negativa"
93,2025-06-22,919,4,8,2,,84.51,9964.1,prima_vacia_o_negativa
94,2026-04-02,222,41,5,10,,169.15,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
96,2025-10-18,1708,3,11,7,1777.93,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
97,2025-08-29,2027,71,15,9,558.7,77.27,,monto_asegurado_vacio_o_negativo
98,,2106,65,10,8,1909.32,153.95,143459.97,Fecha_emision es nulo
100,2025-12-20,2627,52,7,5,,487.51,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
101,2025-07-04,976,48,11,11,,125.52,93713.3,prima_vacia_o_negativa
102,,5,66,13,12,1386.05,,251864.93,"Fecha_emision es nulo,comision_vacia_o_negativo"
104,2025-10-20,3524,7,11,8,149.44,10.64,,monto_asegurado_vacio_o_negativo
105,2025-12-27,2797,80,3,1,,52.0,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
106,2025-06-14,2438,58,12,5,546.09,,44986.21,comision_vacia_o_negativo
107,2025-07-27,1165,15,6,12,,50.04,87472.59,prima_vacia_o_negativa
108,2026-12-02,1620,74,13,11,1235.45,155.5,,monto_asegurado_vacio_o_negativo
109,2025-11-03,2693,6,13,6,,184.48,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
110,2026-12-01,185,46,8,5,,31.43,74435.27,prima_vacia_o_negativa
111,2025-02-16,2833,8,15,12,,222.8,185637.48,prima_vacia_o_negativa
112,2025-05-05,1463,74,7,2,1025.16,94.24,,monto_asegurado_vacio_o_negativo
113,2025-12-03,1715,34,3,6,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
114,,1155,61,11,5,1237.26,,124263.17,"Fecha_emision es nulo,comision_vacia_o_negativo"
115,2026-11-02,739,11,5,7,203.12,17.6,,monto_asegurado_vacio_o_negativo
116,2025-09-23,2659,80,8,10,,,376125.57,"prima_vacia_o_negativa,comision_vacia_o_negativo"
117,2025-03-01,2501,18,12,10,,,188099.37,"prima_vacia_o_negativa,comision_vacia_o_negativo"
119,2025-07-04,1678,71,13,7,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
120,2025-04-29,419,49,1,3,1427.78,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
121,2025-05-26,1222,59,14,6,,,141963.43,"prima_vacia_o_negativa,comision_vacia_o_negativo"
122,2025-08-02,318,41,12,5,726.1,161.45,,monto_asegurado_vacio_o_negativo
123,2025-09-25,721,44,3,2,,437.85,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
124,2025-11-07,2155,40,3,9,,83.53,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
125,2025-10-12,1886,12,13,12,,127.08,234686.27,prima_vacia_o_negativa
126,2025-10-07,1595,18,7,9,,291.84,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
127,2025-05-18,1793,11,12,1,843.06,154.42,,monto_asegurado_vacio_o_negativo
128,2025-08-06,711,25,11,3,,379.89,175091.88,prima_vacia_o_negativa
129,2025-03-06,1894,29,12,11,1354.93,102.04,,monto_asegurado_vacio_o_negativo
130,2025-06-25,1384,38,15,7,,208.25,155755.8,prima_vacia_o_negativa
131,2025-08-01,1953,72,9,2,751.39,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
132,2025-05-23,2110,34,12,11,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
133,2025-12-20,1793,4,1,11,1705.58,,107532.29,comision_vacia_o_negativo
134,2025-09-07,1690,4,11,9,,,42728.3,"prima_vacia_o_negativa,comision_vacia_o_negativo"
135,2026-01-24,1540,19,9,4,533.11,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
136,,1873,36,14,4,685.85,,,"Fecha_emision es nulo,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
137,,2544,48,8,12,1837.21,,,"Fecha_emision es nulo,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
138,2025-11-29,984,50,3,10,,95.54,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
139,2025-03-09,2715,47,3,1,1887.69,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
140,2025-02-17,1227,48,8,5,,163.56,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
141,2025-01-14,2101,71,3,5,,167.05,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
142,,821,56,4,5,,272.72,,"Fecha_emision es nulo,prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
143,2025-02-09,2342,41,10,10,,,31558.02,"prima_vacia_o_negativa,comision_vacia_o_negativo"
144,2025-01-05,354,71,15,10,219.57,53.42,,monto_asegurado_vacio_o_negativo
145,2025-04-20,2461,80,7,12,393.01,55.94,,monto_asegurado_vacio_o_negativo
146,2025-12-23,2899,27,9,2,,,143545.57,"prima_vacia_o_negativa,comision_vacia_o_negativo"
147,2025-10-24,1556,53,5,6,,26.25,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
149,2025-02-12,892,71,15,10,229.87,16.79,,monto_asegurado_vacio_o_negativo
150,2025-05-20,1080,76,6,7,104.24,,6890.09,comision_vacia_o_negativo
151,2025-03-19,927,10,14,7,,139.89,138665.57,prima_vacia_o_negativa
152,2025-07-04,2349,79,7,4,0.0,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
153,2026-01-28,1016,28,12,8,,24.61,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
154,2025-04-12,1023,24,4,5,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
155,2025-05-05,1918,43,10,12,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
156,2025-11-06,462,28,10,2,1793.62,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
157,2025-08-10,2910,63,4,7,,,96305.3,"prima_vacia_o_negativa,comision_vacia_o_negativo"
158,2025-08-04,1121,67,7,12,,189.5,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
159,2025-09-04,1637,5,2,5,748.78,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
160,2025-12-26,1554,9,2,7,1101.08,81.1,,monto_asegurado_vacio_o_negativo
161,,1392,35,7,6,,155.21,167233.6,"Fecha_emision es nulo,prima_vacia_o_negativa"
162,2025-02-15,1094,4,4,5,1760.71,326.32,,monto_asegurado_vacio_o_negativo
163,2025-01-04,354,12,10,7,,101.17,142724.83,prima_vacia_o_negativa
164,2026-01-16,851,50,13,9,501.92,,81059.4,comision_vacia_o_negativo
165,2026-02-04,2934,78,10,2,842.46,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
166,2025-05-09,2302,35,4,12,,409.1,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
168,2025-06-25,691,65,1,1,,65.44,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
169,,1166,41,10,3,,93.67,84578.57,"Fecha_emision es nulo,prima_vacia_o_negativa"
171,2025-05-19,2320,39,9,5,225.23,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
172,2025-09-05,693,69,13,8,1440.24,,199499.58,comision_vacia_o_negativo
173,2025-12-31,1935,13,14,2,,,128228.92,"prima_vacia_o_negativa,comision_vacia_o_negativo"
174,2026-01-05,9,63,12,10,,70.76,11842.93,prima_vacia_o_negativa
175,,2362,59,6,5,,78.61,,"Fecha_emision es nulo,prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
176,2025-12-09,2956,62,5,9,,,149134.25,"prima_vacia_o_negativa,comision_vacia_o_negativo"
177,2025-03-22,355,72,14,1,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
179,2025-05-01,2432,3,8,1,,240.54,260639.14,prima_vacia_o_negativa
180,2025-09-13,2894,5,10,9,507.43,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
181,2025-01-31,1945,37,11,5,,210.72,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
182,,1953,74,6,1,1725.25,,94698.24,"Fecha_emision es nulo,comision_vacia_o_negativo"
183,2025-04-21,513,50,11,5,,174.04,62801.44,prima_vacia_o_negativa
184,2025-04-27,1373,12,7,9,,128.95,49518.48,prima_vacia_o_negativa
185,2026-01-04,1468,27,7,12,,243.81,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
186,2026-01-31,2129,30,8,3,,388.9,298913.7,prima_vacia_o_negativa
187,2025-04-01,2226,75,5,3,1327.21,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
188,2025-10-01,1151,47,7,11,,,130925.71,"prima_vacia_o_negativa,comision_vacia_o_negativo"
189,2025-02-09,1725,74,11,7,1103.69,,151711.76,comision_vacia_o_negativo
190,2025-12-07,2854,70,13,4,953.96,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
191,2025-11-12,837,34,12,3,,173.48,144639.86,prima_vacia_o_negativa
192,2025-12-22,1525,3,4,3,234.48,,36663.52,comision_vacia_o_negativo
193,2025-07-22,1786,56,15,12,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
194,2025-07-05,583,72,10,6,1462.11,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
195,2025-10-17,1641,31,15,11,911.44,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
197,2025-04-15,1558,49,4,11,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
198,2025-10-16,876,77,2,7,1351.69,68.96,,monto_asegurado_vacio_o_negativo
200,2026-02-12,239,79,11,1,1218.97,181.78,,monto_asegurado_vacio_o_negativo
201,2025-06-29,2011,32,12,5,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
202,2025-09-14,2346,4,11,6,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
203,2025-08-16,1121,32,14,5,741.78,127.03,,monto_asegurado_vacio_o_negativo
204,2025-11-27,2424,50,5,7,,388.18,80347.81,prima_vacia_o_negativa
205,2025-06-04,419,46,7,1,1653.96,249.55,,monto_asegurado_vacio_o_negativo
206,2025-10-28,241,28,8,7,556.14,,54199.33,comision_vacia_o_negativo
207,2026-01-22,974,74,14,11,839.87,,69882.74,comision_vacia_o_negativo
208,2025-06-10,3614,78,4,4,472.52,36.01,,monto_asegurado_vacio_o_negativo
209,2026-02-07,1974,25,13,9,72.55,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
210,2025-07-17,2680,12,10,5,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
211,2025-09-30,1795,11,9,7,,,171128.94,"prima_vacia_o_negativa,comision_vacia_o_negativo"
212,2025-09-09,2876,13,10,7,213.27,,12711.02,comision_vacia_o_negativo
214,2025-12-20,743,54,13,12,306.05,17.31,,monto_asegurado_vacio_o_negativo
215,2025-02-26,483,71,7,1,,104.78,58056.65,prima_vacia_o_negativa
216,2025-04-04,1330,46,10,12,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
218,2025-04-22,3630,1,9,2,,88.01,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
219,2025-02-22,1052,5,13,9,,176.78,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
220,2025-12-21,1871,34,6,7,,144.19,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
221,2025-03-15,2725,80,11,1,,75.06,115464.32,prima_vacia_o_negativa
222,2026-01-21,1600,78,2,10,1622.52,,60407.59,comision_vacia_o_negativo
223,2025-09-23,1312,75,15,1,312.76,,44896.28,comision_vacia_o_negativo
224,2025-01-05,777,40,10,9,298.58,63.17,,monto_asegurado_vacio_o_negativo
225,2025-07-13,645,64,12,8,,180.18,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
227,2025-07-05,232,44,13,3,66.1,8.06,,monto_asegurado_vacio_o_negativo
228,2025-11-10,2555,30,5,11,341.36,395.85,,monto_asegurado_vacio_o_negativo
229,2025-12-24,2625,10,5,1,1624.52,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
230,2025-12-19,1245,6,13,3,238.5,,44718.94,comision_vacia_o_negativo
231,2025-01-22,2790,73,7,3,,,161771.05,"prima_vacia_o_negativa,comision_vacia_o_negativo"
232,2025-05-25,1421,17,7,4,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
233,,2619,42,4,6,,,,"Fecha_emision es nulo,prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
234,2025-04-28,2270,68,3,9,,157.51,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
235,,2895,65,8,2,,,193621.53,"Fecha_emision es nulo,prima_vacia_o_negativa,comision_vacia_o_negativo"
237,2025-02-11,1137,37,6,3,,268.64,106698.49,prima_vacia_o_negativa
238,2025-12-16,1485,30,4,4,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
239,2025-05-31,1236,77,10,8,760.38,,111154.53,comision_vacia_o_negativo
240,,536,15,6,10,,180.09,,"Fecha_emision es nulo,prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
241,2025-03-02,657,22,3,4,,199.83,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
242,2025-08-06,1884,61,12,8,548.88,77.84,,monto_asegurado_vacio_o_negativo
243,2025-10-09,634,16,14,3,,283.81,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
244,2026-01-26,1804,18,7,5,,133.24,81691.01,prima_vacia_o_negativa
245,2025-07-25,2704,51,1,5,,274.71,41044.61,prima_vacia_o_negativa
246,2025-09-24,2695,40,14,7,735.39,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
247,2026-01-07,924,49,5,11,,131.17,274013.46,prima_vacia_o_negativa
248,2025-11-15,1011,64,10,4,1846.72,,320537.24,comision_vacia_o_negativo
249,2025-07-09,1500,73,4,6,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
250,2025-04-02,1771,63,14,3,424.38,72.81,,monto_asegurado_vacio_o_negativo
251,2025-06-21,1262,68,1,5,601.96,120.32,,monto_asegurado_vacio_o_negativo
252,,1575,33,14,8,1422.87,76.42,,"Fecha_emision es nulo,monto_asegurado_vacio_o_negativo"
254,2025-06-06,917,23,1,6,,132.79,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
255,2025-03-22,2003,60,1,2,275.48,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
256,2025-07-28,2083,71,12,9,,326.26,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
257,2025-04-19,2855,25,14,7,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
258,2025-09-23,1821,50,7,10,555.6,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
259,2025-11-28,148,17,5,1,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
260,2025-01-14,971,57,13,6,,132.98,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
261,2025-06-04,2956,78,2,4,843.81,106.28,,monto_asegurado_vacio_o_negativo
262,2025-02-14,1441,1,12,7,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
265,2025-12-08,184,62,13,9,264.84,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
266,2025-01-12,1750,12,5,5,,53.62,82199.39,prima_vacia_o_negativa
267,2025-01-17,761,60,1,12,836.8,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
268,,1635,13,14,4,1161.47,87.66,,"Fecha_emision es nulo,monto_asegurado_vacio_o_negativo"
270,2025-05-17,168,64,1,8,,,153797.15,"prima_vacia_o_negativa,comision_vacia_o_negativo"
271,2025-04-20,1773,43,11,5,1395.69,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
272,,2717,50,13,5,,126.8,,"Fecha_emision es nulo,prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
273,2025-12-04,2346,41,12,10,470.44,42.33,,monto_asegurado_vacio_o_negativo
274,2026-04-02,222,16,12,6,359.96,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
275,2025-03-07,1637,46,5,1,1958.02,109.4,,monto_asegurado_vacio_o_negativo
276,2025-01-14,482,19,14,11,1238.05,,149205.72,comision_vacia_o_negativo
277,2025-06-04,2165,16,13,12,,11.06,22028.53,prima_vacia_o_negativa
278,2025-11-04,1832,27,10,9,,150.96,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
279,2025-12-14,770,66,14,3,901.35,,39362.62,comision_vacia_o_negativo
281,2025-12-12,1387,2,14,12,,,108632.52,"prima_vacia_o_negativa,comision_vacia_o_negativo"
282,2025-12-31,1190,6,4,6,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
283,,254,65,13,12,,,,"Fecha_emision es nulo,prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
284,2025-09-07,1163,16,3,4,1052.91,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
285,2025-07-06,2457,37,9,5,,229.02,119625.01,prima_vacia_o_negativa
286,2025-03-02,631,43,6,10,480.94,110.77,,monto_asegurado_vacio_o_negativo
287,2025-09-09,605,62,7,6,434.82,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
288,2025-07-06,1378,72,4,5,738.72,128.9,,monto_asegurado_vacio_o_negativo
289,2026-02-11,2696,62,12,7,,52.21,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
290,2025-04-13,326,61,2,6,,339.8,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
291,2025-05-05,281,54,1,9,,,132725.63,"prima_vacia_o_negativa,comision_vacia_o_negativo"
292,,1514,27,3,1,365.44,39.1,9478.09,Fecha_emision es nulo
293,2025-10-28,175,24,15,1,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
294,2025-08-19,2129,13,13,7,,212.49,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
295,2025-05-31,764,52,7,5,987.43,,164812.9,comision_vacia_o_negativo
296,2025-03-05,1812,77,13,11,,47.2,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
298,2026-02-10,2390,2,14,9,,396.87,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
299,2025-05-05,2724,18,5,7,1142.36,88.5,,monto_asegurado_vacio_o_negativo
300,2025-09-09,1233,67,6,8,1027.81,,69674.38,comision_vacia_o_negativo
301,2025-09-15,1579,72,11,1,,18.74,4988.88,prima_vacia_o_negativa
302,2025-04-25,679,60,1,6,,86.07,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
